,"DANH SÁCH DOANH NGHIỆP ĐÃ ĐĂNG KÝ THAM GIA PHENIKAA CAREER FAIR 2023
 (Danh sách sẽ tiếp tục được cập nhật)"
,
TT,TÊN DOANH NGHIỆP
1,Công ty cổ phần TopCV Việt Nam
2,Công ty cổ phần Savvycom
3,CÔNG TY TNHH 1C VIỆT NAM
4,Công ty TNHH Phần mềm FPT
5,Viện Kế toán Công chứng Anh và xứ Wales ICAEW
6,CÔNG TY TNHH HCL VIETNAM
7,Phenikaa Lighting
8,Trung tâm dưỡng lão Diên Hồng - Công ty Cổ phần Diên Hồng Hà Nội
9,Công ty cổ phần Dược phẩm Pharmacity
10,Ngân hàng Liên Việt - Chi nhánh Thăng Long
11,Công ty Cổ phần Công nghệ Tiên Tiến
12,Công ty AEON Việt Nam
13,MUJI Việt Nam
14,Công ty cổ phần thương mại và dịch vụ MES LAB
15,Phenikaa school
16,Công Ty Cổ Phần Công Nghệ Ehc Việt Nam
17,Công ty cổ phần Liên kết Việt Nhật VIJAlink
18,Công ty Cổ phần Adamo Software
19,Công ty INFINIQ Việt Nam
20,Công ty cổ phần Tập đoàn Merap
21,Công ty Cổ phần Thuốc Thú y Trung Ương 5
22,Trung tâm anh ngữ Zenlish
23,Cty TNHH MTV Booyoung Việt Nam
24,Công ty TNHH giáo dục 2Target
25,Công ty TNHH LX ASIA VINA
26,Công ty Cổ phần Đầu tư Giáo dục và Phát triển Nguồn lực Quốc tế Pasal - Hệ thống trung tâm Anh Ngữ Pasal
27,CÔNG TY CỔ PHẦN CANIFA
28,Công ty cổ phần thương mại máy tính An Phát
29,Ngân hàng Woori - Wooribank Chi nhánh Hoàn Kiếm
30,Công ty cổ phần Tập đoàn Phượng Hoàng Xanh A&A
31,Công Ty TNHH Ê SU HAI
